episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
38000,19000,1900000,6.53e-08,4.61e-14,8.00e-01,8.00e-01,2.70,7.91e-15,1.06e-14,2.25e-15,1.00e+00,1.94e-09,3.83e-08,7.00e-01,7.00e-01,1.50,3.31e-09,5.18e-09,4.59e-10,1.00e+00,7.92e-17,2.90e-08,1.30e+00,1.30e+00,0.00,1.73e-10,5.40e-09,0.00e+00,1.00e+00,17830,2.80e+00
39000,19500,1950000,5.26e-08,3.40e-14,5.00e-01,5.00e-01,3.00,6.95e-15,4.39e-15,5.83e-16,1.00e+00,1.59e-09,3.09e-08,1.00e+00,1.00e+00,0.70,1.51e-09,4.71e-09,1.12e-10,1.00e+00,8.10e-17,2.33e-08,9.00e-01,9.00e-01,0.00,0.00e+00,4.15e-09,0.00e+00,1.00e+00,18296,2.40e+00
40000,20000,2000000,5.28e-08,6.15e-14,3.00e-01,3.00e-01,3.80,1.99e-14,6.71e-15,4.32e-16,1.00e+00,2.43e-09,3.06e-08,4.00e-01,4.00e-01,0.40,1.05e-09,4.74e-09,2.57e-11,1.00e+00,8.74e-17,2.46e-08,1.70e+00,1.70e+00,0.00,0.00e+00,4.59e-09,0.00e+00,1.00e+00,18763,2.40e+00
41000,20500,2050000,6.89e-08,5.25e-14,5.00e-01,5.00e-01,0.80,5.87e-17,1.57e-14,6.74e-18,1.00e+00,2.26e-09,3.97e-08,6.00e-01,6.00e-01,1.50,2.30e-09,5.61e-09,5.50e-10,1.00e+00,8.07e-17,3.14e-08,8.00e-01,8.00e-01,0.00,1.16e-10,6.94e-09,0.00e+00,1.00e+00,19228,1.90e+00
42000,21000,2100000,4.25e-08,4.34e-14,2.00e-01,2.00e-01,2.80,8.82e-15,9.00e-15,9.82e-16,1.00e+00,2.02e-09,2.47e-08,9.00e-01,9.00e-01,0.00,2.73e-11,3.94e-09,0.00e+00,1.00e+00,8.81e-17,1.98e-08,8.00e-01,8.00e-01,0.00,1.25e-11,4.37e-09,0.00e+00,1.00e+00,19695,1.90e+00
43000,21500,2150000,4.99e-08,3.53e-14,6.00e-01,6.00e-01,1.10,4.85e-15,1.19e-14,2.07e-15,1.00e+00,1.67e-09,2.83e-08,6.00e-01,6.00e-01,1.00,2.77e-09,4.41e-09,1.01e-09,1.00e+00,8.51e-17,2.32e-08,1.20e+00,1.20e+00,0.00,0.00e+00,4.00e-09,0.00e+00,1.00e+00,20161,2.40e+00
44000,22000,2200000,3.77e-08,6.14e-14,6.00e-01,6.00e-01,3.40,2.20e-15,1.89e-14,6.15e-16,1.00e+00,2.35e-09,2.15e-08,7.00e-01,7.00e-01,0.30,4.27e-10,2.40e-09,6.14e-11,1.00e+00,7.93e-17,1.86e-08,1.20e+00,1.20e+00,0.00,0.00e+00,4.04e-09,0.00e+00,1.00e+00,20627,2.50e+00
45000,22500,2250000,4.70e-08,5.15e-14,2.00e-01,2.00e-01,1.90,2.61e-15,1.44e-14,4.91e-16,1.00e+00,2.20e-09,2.61e-08,4.00e-01,4.00e-01,0.00,0.00e+00,3.51e-09,0.00e+00,1.00e+00,9.41e-17,2.31e-08,7.00e-01,7.00e-01,0.00,1.19e-10,3.60e-09,0.00e+00,1.00e+00,21093,1.30e+00
46000,23000,2300000,4.15e-08,5.29e-14,1.00e-01,1.00e-01,0.40,4.47e-15,1.05e-14,1.76e-17,1.00e+00,2.29e-09,2.32e-08,3.00e-01,3.00e-01,0.10,1.84e-10,4.17e-09,2.14e-11,1.00e+00,9.86e-17,2.06e-08,7.00e-01,7.00e-01,0.00,0.00e+00,4.24e-09,0.00e+00,1.00e+00,21558,1.10e+00
47000,23500,2350000,3.12e-08,5.14e-14,2.00e-01,2.00e-01,1.70,6.80e-15,1.46e-14,2.84e-15,1.00e+00,2.01e-09,1.72e-08,4.00e-01,4.00e-01,0.70,1.28e-09,2.53e-09,1.44e-10,1.00e+00,7.86e-17,1.60e-08,1.40e+00,1.40e+00,0.00,0.00e+00,4.50e-09,0.00e+00,1.00e+00,22023,2.00e+00
48000,24000,2400000,2.73e-08,5.56e-14,5.00e-01,5.00e-01,1.40,1.54e-15,8.53e-15,2.28e-16,1.00e+00,2.20e-09,1.52e-08,5.00e-01,5.00e-01,0.90,6.67e-10,3.00e-09,1.32e-10,1.00e+00,9.05e-17,1.44e-08,1.00e+00,1.00e+00,0.00,0.00e+00,3.61e-09,0.00e+00,1.00e+00,22488,2.00e+00
49000,24500,2450000,2.32e-08,6.91e-14,0.00e+00,-2.32e-08,1.60,6.89e-15,1.75e-14,9.16e-16,1.00e+00,2.60e-09,1.34e-08,9.00e-01,9.00e-01,0.80,3.72e-10,2.29e-09,9.50e-11,1.00e+00,8.08e-17,1.24e-08,1.00e+00,1.00e+00,0.00,0.00e+00,2.64e-09,0.00e+00,1.00e+00,22953,1.90e+00
50000,25000,2500000,1.67e-08,4.52e-14,4.00e-01,4.00e-01,3.20,4.92e-15,1.10e-14,1.27e-15,1.00e+00,1.90e-09,9.49e-09,5.00e-01,5.00e-01,0.90,5.80e-10,1.95e-09,1.70e-10,1.00e+00,8.22e-17,9.12e-09,1.10e+00,1.10e+00,0.00,0.00e+00,1.61e-09,0.00e+00,1.00e+00,23409,2.00e+00
