episode,step_train,step,A1_reward_env,A1_share,A2_reward_env,A2_share
29000,0,0,-1.000e+00,4.333e-01,-1.000e+00,4.333e-01
30000,0,0,-1.000e+00,4.333e-01,-1.000e+00,4.333e-01
31000,0,0,-9.333e-01,3.500e-01,-1.233e+00,3.500e-01
32000,0,0,-1.083e+00,4.667e-01,-1.083e+00,4.667e-01
33000,0,0,-1.000e+00,3.667e-01,-1.000e+00,3.667e-01
34000,0,0,-1.000e+00,3.667e-01,-1.000e+00,3.667e-01
35000,0,0,-1.167e+00,3.667e-01,-1.167e+00,3.667e-01
36000,0,0,-1.167e+00,3.667e-01,-1.167e+00,3.667e-01
37000,0,0,-1.183e+00,3.333e-01,-9.833e-01,3.333e-01
38000,0,0,-9.167e-01,3.167e-01,-1.417e+00,3.167e-01
39000,0,0,-1.000e+00,3.500e-01,-1.000e+00,3.500e-01
40000,0,0,-1.083e+00,3.833e-01,-1.083e+00,3.833e-01
41000,0,0,-1.000e+00,3.500e-01,-1.000e+00,3.500e-01
42000,0,0,-1.000e+00,3.667e-01,-1.000e+00,3.667e-01
43000,0,0,-1.000e+00,3.333e-01,-1.000e+00,3.333e-01
44000,0,0,-1.000e+00,3.667e-01,-1.000e+00,3.667e-01
45000,0,0,-1.000e+00,3.167e-01,-1.000e+00,3.167e-01
46000,0,0,-1.000e+00,2.500e-01,-1.000e+00,2.500e-01
47000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
48000,0,0,-1.000e+00,3.500e-01,-1.000e+00,3.500e-01
49000,0,0,-1.000e+00,3.833e-01,-1.000e+00,3.833e-01
50000,0,0,-1.083e+00,4.000e-01,-1.083e+00,4.000e-01
51000,0,0,-1.000e+00,3.833e-01,-1.000e+00,3.833e-01
52000,0,0,-1.000e+00,3.667e-01,-1.000e+00,3.667e-01
53000,0,0,-1.000e+00,3.667e-01,-1.000e+00,3.667e-01
54000,0,0,-1.000e+00,3.833e-01,-1.000e+00,3.833e-01
55000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
56000,0,0,-1.000e+00,3.833e-01,-1.000e+00,3.833e-01
57000,0,0,-1.033e+00,3.833e-01,-1.133e+00,3.833e-01
58000,0,0,-1.000e+00,3.500e-01,-1.000e+00,3.500e-01
59000,0,0,-1.000e+00,3.833e-01,-1.000e+00,3.833e-01
60000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
61000,0,0,-1.167e+00,2.667e-01,-1.167e+00,2.667e-01
62000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
63000,0,0,-1.233e+00,3.000e-01,-9.333e-01,3.000e-01
64000,0,0,-8.833e-01,2.833e-01,-1.283e+00,2.833e-01
65000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
66000,0,0,-1.000e+00,3.667e-01,-1.000e+00,3.667e-01
67000,0,0,-1.000e+00,3.500e-01,-1.000e+00,3.500e-01
68000,0,0,-1.000e+00,3.333e-01,-1.000e+00,3.333e-01
69000,0,0,-1.000e+00,3.500e-01,-1.000e+00,3.500e-01
70000,0,0,-1.000e+00,3.500e-01,-1.000e+00,3.500e-01
71000,0,0,-1.000e+00,3.500e-01,-1.000e+00,3.500e-01
72000,0,0,-1.000e+00,3.500e-01,-1.000e+00,3.500e-01
