episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_share_0
13600,13600,1088000,0.000e+00,0.000e+00,-1.089e+00,-1.089e+00,4.756e-01,0.000e+00,0.000e+00,-1.087e+00,-1.087e+00,4.756e-01
13700,13700,1096000,0.000e+00,0.000e+00,-1.090e+00,-1.090e+00,4.092e-01,0.000e+00,0.000e+00,-1.091e+00,-1.091e+00,4.092e-01
13800,13800,1104000,0.000e+00,0.000e+00,-1.085e+00,-1.085e+00,4.547e-01,0.000e+00,0.000e+00,-1.078e+00,-1.078e+00,4.547e-01
13900,13900,1112000,0.000e+00,0.000e+00,-1.094e+00,-1.094e+00,4.260e-01,0.000e+00,0.000e+00,-1.087e+00,-1.087e+00,4.260e-01
14000,14000,1120000,0.000e+00,0.000e+00,-1.090e+00,-1.090e+00,4.548e-01,0.000e+00,0.000e+00,-1.070e+00,-1.070e+00,4.548e-01
14100,14100,1128000,0.000e+00,0.000e+00,-1.081e+00,-1.081e+00,4.597e-01,0.000e+00,0.000e+00,-1.078e+00,-1.078e+00,4.597e-01
14200,14200,1136000,0.000e+00,0.000e+00,-1.101e+00,-1.101e+00,4.161e-01,0.000e+00,0.000e+00,-1.039e+00,-1.039e+00,4.161e-01
14300,14300,1144000,0.000e+00,0.000e+00,-1.088e+00,-1.088e+00,4.388e-01,0.000e+00,0.000e+00,-1.070e+00,-1.070e+00,4.388e-01
14400,14400,1152000,0.000e+00,0.000e+00,-1.098e+00,-1.098e+00,3.875e-01,0.000e+00,0.000e+00,-1.095e+00,-1.095e+00,3.875e-01
14500,14500,1160000,0.000e+00,0.000e+00,-1.088e+00,-1.088e+00,3.981e-01,0.000e+00,0.000e+00,-1.091e+00,-1.091e+00,3.981e-01
14600,14600,1168000,0.000e+00,0.000e+00,-1.087e+00,-1.087e+00,4.879e-01,0.000e+00,0.000e+00,-1.079e+00,-1.079e+00,4.879e-01
14700,14700,1176000,0.000e+00,0.000e+00,-1.088e+00,-1.088e+00,4.423e-01,0.000e+00,0.000e+00,-1.076e+00,-1.076e+00,4.423e-01
14800,14800,1184000,0.000e+00,0.000e+00,-1.082e+00,-1.082e+00,4.533e-01,0.000e+00,0.000e+00,-1.084e+00,-1.084e+00,4.533e-01
14900,14900,1192000,0.000e+00,0.000e+00,-1.084e+00,-1.084e+00,4.534e-01,0.000e+00,0.000e+00,-1.089e+00,-1.089e+00,4.534e-01
15000,15000,1200000,0.000e+00,0.000e+00,-1.072e+00,-1.072e+00,4.876e-01,0.000e+00,0.000e+00,-1.086e+00,-1.086e+00,4.876e-01
15100,15100,1208000,0.000e+00,0.000e+00,-1.076e+00,-1.076e+00,4.765e-01,0.000e+00,0.000e+00,-1.088e+00,-1.088e+00,4.765e-01
15200,15200,1216000,0.000e+00,0.000e+00,-1.085e+00,-1.085e+00,4.725e-01,0.000e+00,0.000e+00,-1.087e+00,-1.087e+00,4.725e-01
15300,15300,1224000,0.000e+00,0.000e+00,-1.095e+00,-1.095e+00,4.606e-01,0.000e+00,0.000e+00,-1.084e+00,-1.084e+00,4.606e-01
15400,15400,1232000,0.000e+00,0.000e+00,-1.086e+00,-1.086e+00,4.459e-01,0.000e+00,0.000e+00,-1.089e+00,-1.089e+00,4.459e-01
15500,15500,1240000,0.000e+00,0.000e+00,-1.091e+00,-1.091e+00,4.863e-01,0.000e+00,0.000e+00,-1.086e+00,-1.086e+00,4.863e-01
15600,15600,1248000,0.000e+00,0.000e+00,-1.087e+00,-1.087e+00,5.079e-01,0.000e+00,0.000e+00,-1.086e+00,-1.086e+00,5.079e-01
